,rotation,texture_u,texture_g,texture_r,texture_i,texture_z
10264,ccw,0.3207692,21.462970000000002,62.94375,28.050929999999997,1.38297
10265,ccw,19.24938,2560.697,2417.324,1636.761,127.9064
10266,ccw,0.2216601,27.394709999999996,47.30397,34.15876,1.626688
10267,ccw,0.7484729,222.4976,285.683,198.6904,10.5449
10268,ccw,3.063488,1895.085,2390.344,1843.026,36.365520000000004
10269,ccw,0.4724031,180.0579,134.0896,144.137,3.693658
10270,ccw,0.31359790000000004,88.63998000000001,81.26524,44.85333,2.064924
10271,ccw,0.1371733,25.52553,18.16607,10.58581,0.2146103
10272,ccw,15.21659,2501.248,4492.227,508.9692,40.288309999999996
10273,ccw,0.36692909999999995,92.34177,70.42808000000001,25.19347,1.091276
10274,ccw,0.08819707,12.784839999999999,27.49908,18.403660000000002,3.577869
10275,ccw,1.053549,283.6725,1452.87,389.3206,33.53307
10276,ccw,22.51901,1075.3,2123.739,1891.85,166.9606
10277,ccw,9.060062,539.6158,1102.4460000000001,527.7265,31.266740000000002
10278,ccw,0.6234798,157.1695,627.8019,501.2716,53.94939
10279,ccw,0.09445909,6.054348,23.69125,16.77337,0.7039074000000001
10280,ccw,0.07460593,3.1347669999999996,18.1164,16.56295,0.7143257
10281,ccw,0.1066357,17.104689999999998,17.89636,15.6021,0.1627864
10282,ccw,0.34724479999999996,642.5211,372.4892,334.3932,17.93219
10283,ccw,0.043167199999999996,7.939054,15.290220000000001,12.72756,0.8403744000000001
10284,ccw,0.6352585,49.53365,631.9259,108.7666,0.16377160000000002
10285,ccw,0.3594182,160.1154,282.6797,185.611,7.748267
10286,ccw,0.06893502,11.861180000000001,23.281760000000002,19.099970000000003,1.127406
10287,ccw,8.878666,438.1627,226.6412,154.235,6.399925
10288,ccw,21.299120000000002,3883.015,3764.095,2740.083,255.3115
10289,ccw,40.53105,1988.0529999999999,1622.7079999999999,763.2462,28.49039
10290,ccw,191.0275,49363.17,32617.4,13356.64,1248.589
10291,ccw,0.09048433,21.7012,28.1925,23.91305,0.09151183
10292,ccw,0.043004900000000006,14.3725,15.553289999999999,11.052760000000001,0.2718538
10293,ccw,5.198565,575.3354,635.9999,630.5179,49.74677
10294,ccw,1.4996690000000001,472.2774,914.8063,868.2194,57.79517
10295,ccw,0.09909794,8.91269,11.39141,8.339855,0.46982609999999997
10296,ccw,36.75116,6818.392,4909.808,3253.8720000000003,154.7448
10297,ccw,0.03917525,17.7827,14.274529999999999,13.2055,0.3473948
10298,ccw,0.1275357,38.16817,23.51436,13.65475,0.16883810000000002
10299,ccw,1.320172,205.4036,87.26253,60.972390000000004,1.7453330000000002
10300,ccw,0.13577070000000002,8.19143,5.598107,5.9589550000000004,0.28018459999999995
10301,ccw,0.382375,104.9567,129.7069,124.0138,2.608302
10302,ccw,0.3725841,49.26354,40.47387,20.549570000000003,1.7944630000000001
10303,ccw,0.7702161,38.12404,116.7213,123.7083,3.809944
