,rotation,ra,dec,cx,cy,cz,raErr,decErr,raDecCorr,b,l,offsetRa_u,offsetRa_g,offsetRa_r,offsetRa_i,offsetRa_z,offsetDec_u,offsetDec_g,offsetDec_r,offsetDec_i,offsetDec_z
3220,cw,141.9198828,26.45030447,-0.70475115,0.55220067,0.44542142,0.054706353,0.058138635,-0.063341101,44.84705653,201.6121735,0.15445,-0.03047,0,0.0042899999999999995,0.045810000000000003,-0.0311,0.01105,0,-0.03221,-0.03914
3221,cw,142.6014702,26.82838273,-0.70891961,0.54198115,0.45131965,0.060899189000000006,0.060979020999999994,-0.001333403,45.52427143,201.2779539,0.27726,0.04145,0,0.01865,-0.1519,-0.050660000000000004,-0.00913,0,0.00047999999999999996,0.06798
3222,cw,144.1379399,27.25605863,-0.72044669,0.52078973,0.45796792,0.053966707,0.057893792,-0.06808537099999999,46.95165273,201.08279950000002,-0.37059000000000003,-0.01223,0,0.01204,0.04217,0.006670000000000001,0.07533,0,0.05899,0.09086
3223,cw,145.0883118,27.70622071,-0.7260125,0.50669355,0.46493817,0.052832899,0.052963964,-0.0023256870000000003,47.86598116,200.6713851,0.03429,0.0785,0,-0.01496,-0.006679999999999999,-0.27548,0.11594000000000002,0,-0.026789999999999998,-0.04044
3224,cw,159.4453143,31.66819153,-0.79691938,0.2988232,0.52499923,0.048552694,0.054400942,-0.062276490999999996,60.65235191,195.9311218,-0.08366,-0.043769999999999996,0,0.03247,-0.03272,-0.42491999999999996,0.02429,0,-0.02079,-0.029160000000000002
3225,cw,119.86239029999999,16.17052503,-0.47821948,0.83291387,0.27849706,0.043242733,0.04658532,-0.144519295,22.14461907,205.50072659999998,0.060379999999999996,0.03805,0,-0.00267,-0.06539,0.27053,-0.07912999999999999,0,-0.00412,-0.10628
3226,cw,121.76873570000001,17.3947493,-0.50241429,0.81129944,0.29895334,0.046538427,0.052619272,-0.227775145,24.30209762,205.0454808,-0.34473000000000004,-0.029810000000000003,0,-0.00471,0.01763,-0.36583000000000004,-0.09104,0,-0.01415,-0.00367
3227,cw,122.9929405,18.10827063,-0.51756532,0.79719573,0.31081363,0.051806068,0.050618887,0.041583023999999996,25.65145426,204.80457280000002,-0.21907,-0.05535,0,0.0206,0.022930000000000002,0.00494,-0.14313,0,-0.039330000000000004,0.03852
3228,cw,123.4134517,18.40284701,-0.5225153,0.79203136,0.31569619,0.051880197,0.047493024,0.156968687,26.13193885,204.6666856,-0.0898,-0.02737,0,0.03067,0.02646,0.061020000000000005,-0.00589,0,0.0044399999999999995,0.01179
3229,cw,128.8350209,21.25105778,-0.58443934,0.72598681,0.36245524,0.048986482000000005,0.048926379000000006,0.001883709,31.90903927,203.6823825,-0.54973,0.04625,0,0.043660000000000004,0.07102,-0.81333,-0.0489,0,0.00875,0.02754
3230,cw,138.211763,25.40053925,-0.67353537,0.60196135,0.42894364,0.051317762999999995,0.052046771,-0.016470832,41.35800561,201.9159628,0.01105,-0.08217,0,-0.04913,0.06327999999999999,0.15050999999999998,-0.034460000000000005,0,-0.05527000000000001,-0.19832
3231,cw,142.7931445,27.37163773,-0.70728864,0.53699469,0.45976025,0.055647907999999996,0.051570029,0.07705709599999999,45.80476962,200.5688765,-0.2163,-0.03329,0,-0.01775,0.00629,0.25079,-0.04458,0,-0.04337,-0.00775
3232,cw,147.21901709999997,28.89402702,-0.73608596,0.47402932,0.48319112,0.05188632,0.051181542000000003,0.011950154,49.91687544,199.37697690000002,-0.013040000000000001,-0.00128,0,-0.01055,-0.01601,0.01375,-0.0025,0,0.00916,0.01601
3233,cw,154.5335469,30.99871426,-0.77389296,0.36857196,0.51501884,0.050723500000000005,0.044472215999999995,0.088350459,56.44093050000001,197.0008003,-0.10224,-0.016640000000000002,0,0.00224,-0.014759999999999999,0.07222,0.0241,0,-0.01704,-0.01404
3234,cw,122.46700990000002,18.38226539,-0.50942226,0.80064972,0.31535532,0.05257354400000001,0.053829842999999995,-0.042934205999999996,25.29106028,204.3158445,-0.014480000000000002,0.00433,0,0.0011,-0.01933,0.007640000000000001,0.02785,0,-0.05533,-0.07908
3235,cw,126.03666340000001,20.26328428,-0.55189338,0.75859479,0.34633457,0.050397495,0.048686821,0.057200405,29.11234531,203.719102,0.40341,-0.03394,0,0.0219,0.029539999999999997,-0.2705,-0.02171,0,-0.01977,-0.02195
3236,cw,126.3002878,20.33474548,-0.55512175,0.75569873,0.34750435,0.04998582,0.051018914000000005,-0.033641224,29.36896803,203.7415934,-0.0556,-0.00112,0,0.01121,0.028030000000000003,-0.04604,-0.01866,0,-0.0007099999999999999,-0.0184
3237,cw,129.53247,22.09914997,-0.5897533,0.71460247,0.37621052,0.052112902,0.046106165,0.184764935,32.80013277,202.98677030000002,-0.51802,-0.02833,0,-0.011559999999999999,0.05545,0.9761799999999999,0.01491,0,0.00524,0.00346
3238,cw,135.50751409999998,24.72816394,-0.64793077,0.63655278,0.41831359999999995,0.0544611,0.057257920999999996,-0.063463832,38.81786825,201.91764809999998,0.82595,0.01976,0,-0.02585,-0.07023,0.01526,0.0181,0,0.00688,0.02908
3239,cw,140.3235185,26.70986196,-0.6875342,0.57032531,0.44947276,0.046458228,0.054694042000000005,-0.17931856300000001,43.51429117,200.811993,0.13197,0.03857,0,-0.008790000000000001,0.01248,0.05633,0.010709999999999999,0,-0.01075,-0.01985
3240,cw,142.6111003,27.77556065,-0.70298613,0.53725771,0.46600928,0.047393079000000005,0.04666676,0.015715268,45.72791008,199.9551618,0.6769,0.07399,0,-0.04803,-0.0845,0.25721,0.0239,0,-0.03868,0.00331
