,rotation,type_u,type_g,type_r,type_i,type_z
810,cw,3,3,3,3,3
811,cw,3,3,3,3,3
812,cw,3,3,3,3,3
813,cw,3,3,3,3,3
814,cw,3,3,3,3,3
815,cw,3,3,3,3,3
816,cw,3,3,3,3,3
817,cw,3,3,3,3,3
818,cw,3,3,3,3,3
819,cw,3,3,3,3,3
820,cw,3,3,3,3,3
821,cw,3,3,3,3,3
822,cw,3,3,3,3,3
823,cw,3,3,3,3,3
824,cw,3,3,3,3,3
825,cw,3,3,3,3,3
826,cw,3,3,3,3,3
827,cw,3,3,3,3,3
828,cw,3,3,3,3,3
829,cw,3,3,3,3,3
830,cw,3,3,3,3,3
831,cw,3,3,3,3,3
832,cw,3,3,3,3,3
833,cw,3,3,3,3,3
834,cw,3,3,3,3,3
835,cw,3,3,3,3,3
836,cw,3,3,3,3,3
837,cw,3,3,3,3,3
838,cw,3,3,3,3,3
839,cw,3,3,3,3,3
840,cw,3,3,3,3,3
841,cw,3,3,3,3,3
842,cw,3,3,3,3,3
843,cw,3,3,3,3,3
844,cw,3,3,3,3,3
845,cw,3,3,3,3,3
846,cw,3,3,3,3,3
847,cw,3,3,3,3,3
848,cw,3,3,3,3,3
849,cw,3,3,3,3,3
850,cw,3,3,3,3,3
851,cw,3,3,3,3,3
852,cw,3,3,3,3,3
853,cw,3,3,3,3,3
854,cw,3,3,3,3,3
855,cw,3,3,3,3,3
856,cw,3,3,3,3,3
857,cw,3,3,3,3,3
858,cw,3,3,3,3,3
859,cw,3,3,3,3,3
860,cw,3,3,3,3,3
861,cw,3,3,3,3,3
862,cw,3,3,3,3,3
863,cw,3,3,3,3,3
864,cw,3,3,3,3,3
865,cw,3,3,3,3,3
866,cw,3,3,3,3,3
867,cw,3,3,3,3,3
868,cw,3,3,3,3,3
869,cw,3,3,3,3,3
870,cw,3,3,3,3,3
871,cw,3,3,3,3,3
872,cw,3,3,3,3,3
873,cw,3,3,3,3,3
874,cw,3,3,3,3,3
875,cw,3,3,3,3,3
876,cw,3,3,3,3,3
877,cw,3,3,3,3,3
878,cw,3,3,3,3,3
879,cw,3,3,3,3,3
880,cw,3,3,3,3,3
881,cw,3,3,3,3,3
882,cw,3,3,3,3,3
883,cw,3,3,3,3,3
884,cw,3,3,3,3,3
885,cw,3,3,3,3,3
886,cw,3,3,3,3,3
887,cw,3,3,3,3,3
888,cw,3,3,3,3,3
889,cw,3,3,3,3,3
890,cw,3,3,3,3,3
891,cw,3,3,3,3,3
892,cw,3,3,3,3,3
893,cw,3,3,3,3,3
894,cw,3,3,3,3,3
895,cw,3,3,3,3,3
896,cw,3,3,3,3,3
897,cw,3,3,3,3,3
898,cw,3,3,3,3,3
899,cw,3,3,3,3,3
900,cw,3,3,3,3,3
901,cw,3,3,3,3,3
902,cw,3,3,3,3,3
903,cw,3,3,3,3,3
904,cw,3,3,3,3,3
905,cw,3,3,3,3,3
906,cw,3,3,3,3,3
907,cw,3,3,3,3,3
908,cw,3,3,3,3,3
909,cw,3,3,3,3,3
910,cw,3,3,3,3,3
911,cw,3,3,3,3,3
912,cw,3,3,3,3,3
913,cw,3,3,3,3,3
914,cw,3,3,3,3,3
915,cw,3,3,3,3,3
916,cw,3,3,3,3,3
917,cw,3,3,3,3,3
918,cw,3,3,3,3,3
919,cw,3,3,3,3,3
920,cw,3,3,3,3,3
921,cw,3,3,3,3,3
922,cw,3,3,3,3,3
